Difficulty,Question,QuestionEn,Options,Ans,AnsEn,Category
Medium,Quelle est la différence entre 'bonjour' et 'bonsoir' en français?,What is the difference between 'hello' and 'good evening' in French?,"'Bonjour' est utilisé le matin et 'bonsoir' le soir,'Bonsoir' est utilisé le matin et 'bonjour' le soir,'Bonjour' est plus formel que 'bonsoir','Bonsoir' est plus formel que 'bonjour'",'Bonjour' est utilisé le matin et 'bonsoir' le soir,'Hello' is used in the morning and 'good evening' in the evening,Greetings
Hard,Traduisez la phrase 'I'm looking forward to our next meeting' en français.,Translate the sentence 'I'm looking forward to our next meeting' into French.,"Je suis impatient de notre prochaine réunion,Je suis heureux de notre prochaine réunion,Je suis fatigué de notre prochaine réunion,Je suis malade de notre prochaine réunion",Je suis impatient de notre prochaine réunion,I'm looking forward to our next meeting,Greetings
Medium,Quelle est la forme correcte du verbe 'aller' au futur simple?,What is the correct form of the verb 'to go' in the future simple tense?,"Je vais aller,Je vais aller à pied,Je vais aller demain,Je vais aller à la maison",Je vais aller,I will go,Greetings
Easy,"Quelle est la traduction de ""hello"" en français?","What is the translation of ""hello"" in French?","Bonjour,Salut,Comment ça va?,Merci",Bonjour,Hello,Greetings
Medium,Comment vous saluerez-vous un ami en français?,How would you greet a friend in French?,"Bonjour, comment ça va?,Salut, comment vas-tu?,Bonjour, comment allez-vous?,Salut, je m'appelle","Bonjour, comment ça va?","Hello, how are you?",Greetings
Hard,"Traduisez la phrase ""Hello, how are you?"" en français.","Translate the sentence ""Hello, how are you?"" into French.","Bonjour, comment ça va?,Salut, comment vas-tu?,Bonjour, comment allez-vous?,Je vais bien, merci","Bonjour, comment ça va?","Hello, how are you?",Greetings
Easy,"Quelle est la traduction de ""goodbye"" en français?","What is the translation of ""goodbye"" in French?","Au revoir,Bonjour,Merci,Salut",Au revoir,Goodbye,Greetings
Medium,"Comment direz-vous ""goodbye"" à un ami en français?","How would you say ""goodbye"" to a friend in French?","Au revoir, à bientôt,Salut, à demain,Bonjour, à tout à l'heure,Au revoir, à la prochaine","Au revoir, à bientôt","Goodbye, see you soon",Greetings
Hard,"Traduisez la phrase ""Goodbye, see you soon"" en français.","Translate the sentence ""Goodbye, see you soon"" into French.","Au revoir, à bientôt,Salut, à demain,Bonjour, à tout à l'heure,Je vous reverrai bientôt","Au revoir, à bientôt","Goodbye, see you soon",Greetings
Easy,"Quelle est la différence entre ""le"" et ""la"" en français?",What is the difference between 'le' and 'la' in French?,"Le est utilisé pour les masculins, la est utilisé pour les féminins,La est utilisé pour les masculins, le est utilisé pour les féminins,Le est utilisé pour les singuliers, la est utilisé pour les pluriels,La est utilisé pour les singuliers, le est utilisé pour les pluriels","Le est utilisé pour les masculins, la est utilisé pour les féminins","Le is used for masculine, la is used for feminine",Articles
Easy,Comment dit-on 'I am happy' en français?,How do you say 'I am happy' in French?,"Je suis heureux,Je suis malheureux,Je suis fatigué,Je suis content",Je suis heureux,I am happy,Greetings
Medium,Quelle est la différence entre 'tu vas' et 'vous allez' en français?,What is the difference between 'you are going' and 'you are going (plural)' in French?,"Tu vas est utilisé pour parler à un ami,Tu vas est utilisé pour parler à un parent,Vous allez est utilisé pour parler à un ami,Vous allez est utilisé pour parler à un parent",Vous allez,You are going (plural),Greetings
Hard,Traduisez la phrase 'I'm looking forward to seeing you' en français.,Translate the sentence 'I'm looking forward to seeing you' into French.,"Je suis impatient de te voir,Je suis heureux de te rencontrer,Je suis content de te saluer,Je suis malheureux de te quitter",Je suis impatient de te voir,I'm looking forward to seeing you,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Salut,Merci,Au revoir",Bonjour,Hello,Greetings
Easy,Comment dire 'I love you' en français?,How do you say 'I love you' in French?,"Je t'aime,Je t'adore,Je t'aime beaucoup,Je suis amoureux",Je t'aime,I love you,Greetings
Easy,Quelle est la traduction de 'bonsoir' en français?,What is the translation of 'good evening' in French?,"Au revoir,Bonjour,Bonsoir,Salut",Bonsoir,Good evening,Greetings
Medium,Comment dire 'I am from France' en français?,How do you say 'I am from France' in French?,"Je suis de la France,Je suis à la France,Je suis en France,Je suis de l'Europe",Je suis de la France,I am from France,Greetings
Hard,"Traduisez la phrase 'Good morning, how are you?' en français.","Translate the sentence 'Good morning, how are you?' into French.","Bonjour, comment ça va?,Bonjour, comment allez-vous?,Bonjour, comment vous appelez-vous?,Bonjour, je suis perdu","Bonjour, comment ça va?","Good morning, how are you?",Greetings
Medium,Comment exprimer 'I am happy' en français?,How to say 'I am happy' in French?,"Je suis heureux,Je suis fatigué,Je suis malade,Je suis heureuse",Je suis heureux,I am happy,Greetings
Easy,Quelle est la traduction de 'excusez-moi' en français?,What is the translation of 'excuse me' in French?,"Désolé,Au revoir,Merci,S'il vous plaît",Excusez-moi,Excuse me,Greetings
Easy,Quelle est la traduction de 'how are you' en français?,What is the translation of 'how are you' in French?,"Comment ça va?,Comment allez-vous?,Bonjour,Salut",Comment ça va?,How are you?,Greetings
Easy,Comment vous appelez-vous?,What is your name?,"Salut,Bonjour,Comment ça va?,Mon nom est",Comment vous appelez-vous?,What is your name?,Greetings
Medium,"Je me présente, je m'appelle Pierre. Comment vous appelez-vous?","I introduce myself, my name is Pierre. What is your name?","Je m'appelle Pierre,Je suis heureux de vous rencontrer,Je suis de Paris,Je suis étudiant",Comment vous appelez-vous?,What is your name?,Greetings
Hard,"Lorsque vous vous présentez, qu'est-ce que vous dites généralement pour vous présenter?",What do you usually say when you introduce yourself?,"Je m'appelle,Je suis de,Je suis étudiant,Je suis heureux de vous rencontrer",Je m'appelle,My name is,Greetings
Easy,Quelle est la traduction de 'goodbye' en français?,What is the translation of 'goodbye' in French?,"Au revoir,Bonjour,Merci,Salut",Au revoir,Goodbye,Greetings
Medium,"Quand vous quittez un ami, qu'est-ce que vous dites généralement?",What do you usually say when you leave a friend?,"À bientôt,À demain,Au revoir,Salut",Au revoir,Goodbye,Greetings
Hard,Comment traduirez-vous 'I'm going home' en français?,How would you translate 'I'm going home' in French?,"Je vais chez moi,Je suis à la maison,Je rentre chez moi,Je suis heureux de rentrer chez moi",Je vais chez moi,I'm going home,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Salut,Merci,Au revoir",Bonjour,Hello,Greetings
Medium,Comment salueriez-vous quelqu'un que vous voyez pour la première fois?,How would you greet someone you see for the first time?,"Bonjour,Salut,Comment ça va?,Enchanté",Bonjour,Hello,Greetings
Hard,Comment traduirez-vous 'I'm glad to meet you' en français?,How would you translate 'I'm glad to meet you' in French?,"Enchanté,Bonjour,Salut,Merci",Enchanté,Glad to meet you,Greetings
Easy,Quelle est la différence entre 'tu' et 'vous'?,What is the difference between 'tu' and 'vous'?,"Le genre,L'âge,La profession,Le nombre",Le nombre,Number,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Salut,Comment ça va?,Mon nom est",Bonjour,Hello,Greetings
Medium,Quelle est la différence entre 'le' et 'la'?,What is the difference between 'le' and 'la'?,"Le 'le' est utilisé pour les animaux mâles,La 'la' est utilisée pour les animaux femelles,Le 'le' est utilisé pour les objets masculins,La 'la' est utilisée pour les objets féminins",Le 'le' est utilisé pour les objets masculins,The 'le' is used for masculine objects,Greetings
Medium,Quelle est la différence entre 'tu' et 'vous' en français?,What is the difference between 'tu' and 'vous' in French?,"Le 'tu' est utilisé avec les amis, le 'vous' est utilisé avec les parents,Le 'tu' est utilisé avec les parents, le 'vous' est utilisé avec les amis,Le 'tu' est utilisé pour dire 'bonjour', le 'vous' est utilisé pour dire 'au revoir',Le 'tu' est utilisé pour les personnes âgées, le 'vous' est utilisé pour les personnes jeunes","Le 'tu' est utilisé avec les amis, le 'vous' est utilisé avec les parents",You use 'tu' with friends and 'vous' with family,Greetings
Easy,Quelle est la traduction de 'excusez-moi' en français?,What is the translation of 'excuse me' in French?,"Pouvez-vous m'aider?,Je suis désolé,Je m'appelle,Je suis perdu",Excusez-moi,Excuse me,Greetings
Medium,"Comment vous appelez-vous, madame?","What is your name, ma'am?","Salut,Bonjour,Comment ça va?,Mon nom est",Comment vous appelez-vous,What is your name,Greetings
Easy,Comment dit-on 'good morning' en français?,How do you say 'good morning' in French?,"Bonjour,Salut,Bonsoir,Au revoir",Bonjour,Good morning,Greetings
Medium,Quelle est la différence entre 'tu' et 'vous' en français?,What is the difference between 'tu' and 'vous' in French?,"Tu es plus formel que vous,Vous êtes plus formel que tu,Tu est plus informel que vous,Vous est plus informel que tu",Tu est plus informel que vous,You are more informal than you,Greetings
Hard,Traduisez le suivant : 'I said hello to my friend.',Translate the following : 'I said hello to my friend.',"Je dis bonjour à mon ami,Je dis bonsoir à mon ami,Je dis au revoir à mon ami,Je dis merci à mon ami",Je dis bonjour à mon ami,I said hello to my friend,Greetings
Easy,Comment dit-on 'good evening' en français?,How do you say 'good evening' in French?,"Bonsoir,Bonjour,Salut,Au revoir",Bonsoir,Good evening,Greetings
Medium,Quelle est la différence entre 'je m'appelle' et 'je suis' en français?,What is the difference between 'I am called' and 'I am' in French?,"Je m'appelle est plus formel que je suis,Je suis est plus formel que je m'appelle,Je m'appelle est plus informel que je suis,Je suis est plus informel que je m'appelle",Je m'appelle est plus formel que je suis,You are called is more formal than you are,Greetings
Hard,Traduisez le suivant : 'I said goodbye to my friend.',Translate the following : 'I said goodbye to my friend.',"Je dis au revoir à mon ami,Je dis bonjour à mon ami,Je dis bonsoir à mon ami,Je dis merci à mon ami",Je dis au revoir à mon ami,I said goodbye to my friend,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Salut,Bonsoir,Au revoir",Bonjour,Hello,Greetings
Easy,Je vais à la bibliothèque avec mes amis,I am going to the library with my friends,"Je vais à l'école avec mes amis,Je vais au parc avec mes amis,Je vais à la plage avec mes amis,Je vais à la montagne avec mes amis",Je vais à la bibliothèque avec mes amis,I am going to the library with my friends,Activities
Easy,Je m'appelle Marie,My name is Marie,"Je m'appelle Pierre,Je m'appelle Sophie,Je m'appelle Léa,Je m'appelle Antoine",Je m'appelle Marie,My name is Marie,Activities
Easy,Je suis étudiant,I am a student,"Je suis enseignant,Je suis enseignante,Je suis professeur,Je suis étudiant",Je suis étudiant,I am a student,Activities
Easy,Je vais au parc avec mes parents,I am going to the park with my parents,"Je vais à la plage avec mes parents,Je vais à la bibliothèque avec mes parents,Je vais à l'école avec mes parents,Je vais à la montagne avec mes parents",Je vais au parc avec mes parents,I am going to the park with my parents,Activities
Easy,Je suis heureux,I am happy,"Je suis triste,Je suis fâché,Je suis fatigué,Je suis heureux",Je suis heureux,I am happy,Activities
Easy,Je vais à l'école avec mes frères,I am going to school with my brothers,"Je vais au parc avec mes frères,Je vais à la plage avec mes frères,Je vais à la bibliothèque avec mes frères,Je vais à la montagne avec mes frères",Je vais à l'école avec mes frères,I am going to school with my brothers,Activities
Easy,Je suis étudiante,I am a student,"Je suis enseignante,Je suis enseignant,Je suis professeur,Je suis étudiante",Je suis étudiante,I am a student,Activities
Easy,Je vais au parc avec mes sœurs,I am going to the park with my sisters,"Je vais à la plage avec mes sœurs,Je vais à la bibliothèque avec mes sœurs,Je vais à l'école avec mes sœurs,Je vais à la montagne avec mes sœurs",Je vais au parc avec mes sœurs,I am going to the park with my sisters,Activities
Easy,Je suis fatigué,I am tired,"Je suis heureux,Je suis triste,Je suis fâché,Je suis fatigué",Je suis fatigué,I am tired,Activities
Easy,Je vais à la bibliothèque avec mes parents,I am going to the library with my parents,"Je vais au parc avec mes parents,Je vais à la plage avec mes parents,Je vais à l'école avec mes parents,Je vais à la montagne avec mes parents",Je vais à la bibliothèque avec mes parents,I am going to the library with my parents,Activities
Medium,Quel est votre hobby?,What is your hobby?,"Lire,Écrire,Faire du sport,Écouter de la musique",Lire,Reading,Activities
Medium,Quel est votre animal de compagnie?,What is your pet?,"Un chien,Un chat,Un oiseau,Un poisson",Un chien,A dog,Activities
Medium,Quel est votre sport préféré?,What is your favorite sport?,"Le football,Le basket-ball,Le tennis,Le cyclisme",Le football,Football,Activities
Medium,Quel est votre restaurant préféré?,What is your favorite restaurant?,"Le bistrot,Le café,La pizzeria,Le restaurant français",Le restaurant français,The French restaurant,Activities
Medium,Quel est votre film préféré?,What is your favorite movie?,"Le film d'action,Le film romantique,Le film comique,Le film d'aventure",Le film d'aventure,The adventure movie,Activities
Hard,Quel est le nom de la capitale de la France?,What is the name of the capital of France?,"Paris,Lyon,Marseille,Bordeaux",Paris,Paris,Activities
Hard,Quel est le nom de la fête nationale de la France?,What is the name of the national holiday of France?,"La Fête du Tricolore,La Bastille,Le 14 Juillet,Le 15 Août",Le 14 Juillet,Bastille Day,Activities
Hard,Quel est le nom de la langue officielle de la France?,What is the name of the official language of France?,"L'anglais,L'allemand,L'espagnol,Le français",Le français,French,Activities
Hard,Quel est le nom de la monnaie de la France?,What is the name of the currency of France?,"L'euro,Le dollar,La livre sterling,La monnaie française",L'euro,The euro,Activities
Hard,Quel est le nom de la principale rivière de la France?,What is the name of the main river of France?,"La Seine,La Loire,La Garonne,La Dordogne",La Seine,The Seine,Activities
Hard,Quel est le nom de la principale montagne de la France?,What is the name of the main mountain of France?,"Le Mont Blanc,Le Mont Ventoux,Le Mont Saint-Michel,Le Mont Sainte-Odile",Le Mont Blanc,Mont Blanc,Activities
Hard,Quel est le nom de la principale ville de la France?,What is the name of the main city of France?,"Paris,Lyon,Marseille,Bordeaux",Paris,Paris,Activities
Hard,Quel est le nom de la principale région de la France?,What is the name of the main region of France?,"La région Île-de-France,La région Auvergne-Rhône-Alpes,La région Nouvelle-Aquitaine,La région Bretagne",La région Île-de-France,The Île-de-France region,Activities
Hard,Quel est le nom de la principale province de la France?,What is the name of the main province of France?,"La province d'Île-de-France,La province d'Auvergne-Rhône-Alpes,La province de Nouvelle-Aquitaine,La province de Bretagne",La province d'Île-de-France,The Île-de-France province,Activities
Hard,Quel est le nom de la principale vallée de la France?,What is the name of the main valley of France?,"La vallée de la Seine,La vallée de la Loire,La vallée de la Garonne,La vallée de la Dordogne",La vallée de la Seine,The Seine valley,Activities
Hard,Quel est le nom de la principale plaine de la France?,What is the name of the main plain of France?,"La plaine de la Seine,La plaine de la Loire,La plaine de la Garonne,La plaine de la Dordogne",La plaine de la Seine,The Seine plain,Activities
Easy,Je vais au parc avec mes amis.,I am going to the park with my friends.,"Je vais à la bibliothèque avec mes amis.,Je vais à la plage avec mes amis.,Je vais au musée avec mes amis.,Je vais à la montagne avec mes amis.",Je vais au parc avec mes amis.,I am going to the park with my friends.,Activities
Easy,Je mange un sandwich pour déjeuner.,I eat a sandwich for lunch.,"Je mange un repas au restaurant.,Je mange un dessert après le déjeuner.,Je bois un verre d'eau avant le déjeuner.,Je mange un sandwich pour le dîner.",Je mange un sandwich pour déjeuner.,I eat a sandwich for lunch.,Activities
Easy,Je vais à la bibliothèque pour étudier.,I go to the library to study.,"Je vais au parc pour jouer.,Je vais au musée pour apprendre.,Je vais à la montagne pour faire du ski.,Je vais à la plage pour nager.",Je vais à la bibliothèque pour étudier.,I go to the library to study.,Activities
Easy,Je fais du sport pour rester en forme.,I exercise to stay in shape.,"Je fais du yoga pour se détendre.,Je fais du ski pour améliorer ma technique.,Je fais du vélo pour me déplacer.,Je fais du jogging pour perdre du poids.",Je fais du sport pour rester en forme.,I exercise to stay in shape.,Activities
Easy,Je vais à la plage pour nager.,I go to the beach to swim.,"Je vais au parc pour jouer.,Je vais au musée pour apprendre.,Je vais à la montagne pour faire du ski.,Je vais à la bibliothèque pour étudier.",Je vais à la plage pour nager.,I go to the beach to swim.,Activities
Easy,Je mange un dessert après le déjeuner.,I eat a dessert after lunch.,"Je mange un repas au restaurant.,Je bois un verre d'eau avant le déjeuner.,Je mange un sandwich pour déjeuner.,Je mange un sandwich pour le dîner.",Je mange un dessert après le déjeuner.,I eat a dessert after lunch.,Activities
Easy,Je vais au musée pour apprendre.,I go to the museum to learn.,"Je vais au parc pour jouer.,Je vais à la montagne pour faire du ski.,Je vais à la plage pour nager.,Je vais à la bibliothèque pour étudier.",Je vais au musée pour apprendre.,I go to the museum to learn.,Activities
Easy,Je fais du yoga pour se détendre.,I do yoga to relax.,"Je fais du sport pour rester en forme.,Je fais du ski pour améliorer ma technique.,Je fais du vélo pour me déplacer.,Je fais du jogging pour perdre du poids.",Je fais du yoga pour se détendre.,I do yoga to relax.,Activities
Easy,Je vais à la montagne pour faire du ski.,I go to the mountain to ski.,"Je vais au parc pour jouer.,Je vais au musée pour apprendre.,Je vais à la plage pour nager.,Je vais à la bibliothèque pour étudier.",Je vais à la montagne pour faire du ski.,I go to the mountain to ski.,Activities
Easy,Je bois un verre d'eau avant le déjeuner.,I drink a glass of water before lunch.,"Je mange un repas au restaurant.,Je mange un sandwich pour déjeuner.,Je mange un sandwich pour le dîner.,Je mange un dessert après le déjeuner.",Je bois un verre d'eau avant le déjeuner.,I drink a glass of water before lunch.,Activities
Medium,Quel est votre hobby préféré?,What is your favorite hobby?,"Lire un livre,Écouter de la musique,Faire du sport,Faire du yoga",Lire un livre,Reading a book,Activities
Medium,Quel est votre animal de compagnie préféré?,What is your favorite pet?,"Un chien,Un chat,Un poisson,Un oiseau",Un chien,A dog,Activities
Medium,Quel est votre lieu de vacances préféré?,What is your favorite vacation spot?,"La plage,La montagne,La forêt,La ville",La plage,The beach,Activities
Medium,Quel est votre type de musique préféré?,What is your favorite type of music?,"La musique classique,La musique rock,La musique pop,La musique électronique",La musique classique,Classical music,Activities
Medium,Quel est votre sport préféré?,What is your favorite sport?,"Le football,Le basketball,Le tennis,Le golf",Le football,Football,Activities
Medium,Quel est votre type de cuisine préféré?,What is your favorite type of cuisine?,"La cuisine française,La cuisine italienne,La cuisine chinoise,La cuisine mexicaine",La cuisine française,French cuisine,Activities
Hard,Quel est le nom de la principale rivière de la France qui se jette dans l'océan Atlantique?,What is the name of the main river in France that flows into the Atlantic Ocean?,"La Seine,La Loire,La Garonne,La Dordogne",La Loire,The Loire,Activities
Hard,Quel est le nom de la principale montagne de la France qui est située dans les Alpes?,What is the name of the main mountain in France located in the Alps?,"Le Mont Blanc,Le Mont Ventoux,Le Mont Saint-Michel,Le Mont Sainte-Odile",Le Mont Blanc,Mont Blanc,Activities
Hard,Quel est le nom de la principale ville de la France qui est située sur la côte méditerranéenne?,What is the name of the main city in France located on the Mediterranean coast?,"Paris,Lyon,Marseille,Bordeaux",Marseille,Marseille,Activities
Hard,Quel est le nom de la principale région de la France qui est située dans le sud-ouest du pays?,What is the name of the main region in France located in the southwest of the country?,"La région Île-de-France,La région Auvergne-Rhône-Alpes,La région Nouvelle-Aquitaine,La région Bretagne",La région Nouvelle-Aquitaine,The Nouvelle-Aquitaine region,Activities
Hard,Quel est le nom de la principale province de la France qui est située dans le nord-est du pays?,What is the name of the main province in France located in the northeast of the country?,"La province d'Île-de-France,La province d'Auvergne-Rhône-Alpes,La province de Nouvelle-Aquitaine,La province de Bretagne",La province d'Auvergne-Rhône-Alpes,The Auvergne-Rhône-Alpes province,Activities
Easy,Je vais au parc avec mes amis.,I am going to the park with my friends.,"Je vais à la bibliothèque avec mes amis.,Je vais au cinéma avec mes amis.,Je vais à la plage avec mes amis.,Je vais à la montagne avec mes amis.",Je vais au parc avec mes amis.,I am going to the park with my friends.,Activities
Easy,Je m'appelle Marie et j'ai 10 ans.,My name is Marie and I am 10 years old.,"Je m'appelle Louis et j'ai 12 ans.,Je m'appelle Sophie et j'ai 9 ans.,Je m'appelle Léa et j'ai 11 ans.,Je m'appelle Emma et j'ai 8 ans.",Je m'appelle Marie et j'ai 10 ans.,My name is Marie and I am 10 years old.,Activities
Easy,Je vais à l'école avec mes frères et sœurs.,I am going to school with my brothers and sisters.,"Je vais à la bibliothèque avec mes frères et sœurs.,Je vais au parc avec mes frères et sœurs.,Je vais à la plage avec mes frères et sœurs.,Je vais à la montagne avec mes frères et sœurs.",Je vais à l'école avec mes frères et sœurs.,I am going to school with my brothers and sisters.,Activities
Easy,Je m'appelle Marie et j'ai 25 ans.,My name is Marie and I am 25 years old.,"Je m'appelle Pierre et j'ai 30 ans.,Je m'appelle Sophie et j'ai 20 ans.,Je m'appelle Léa et j'ai 22 ans.,Je m'appelle Alice et j'ai 28 ans.",Je m'appelle Marie et j'ai 25 ans.,My name is Marie and I am 25 years old.,Activities
Easy,Je vais au parc avec mes frères.,I am going to the park with my brothers.,"Je vais à la bibliothèque avec mes frères,Je vais au cinéma avec mes frères,Je vais à la plage avec mes frères,Je vais à la montagne avec mes frères",Je vais au parc avec mes frères,I am going to the park with my brothers.,Activities
Medium,Quel est votre goût préféré de fruits?,What is your favorite fruit flavor?,"Fraise,Citron,Orange,Poire",Fraise,Strawberry,Activities
Hard,Quel est le nom du plus grand fleuve d'Afrique?,What is the name of the largest river in Africa?,"Le Nil,Le Congo,Le Zambezi,Le Limpopo",Le Nil,The Nile,Activities
Easy,Je vais à la bibliothèque avec mes sœurs.,I am going to the library with my sisters.,"Je vais au parc avec mes sœurs,Je vais à la plage avec mes sœurs,Je vais à la montagne avec mes sœurs,Je vais au cinéma avec mes sœurs",Je vais à la bibliothèque avec mes sœurs,I am going to the library with my sisters.,Activities
Medium,Quel est votre animal de compagnie préféré?,What is your favorite pet?,"Chien,Chat,Oiseau,Poisson",Chien,Dog,Activities
Hard,Quel est le nom de la capitale de la France?,What is the name of the capital of France?,"Paris,Lyon,Marseille,Bordeaux",Paris,Paris,Activities
Easy,Je vais à la plage avec mes cousins.,I am going to the beach with my cousins.,"Je vais au parc avec mes cousins,Je vais à la bibliothèque avec mes cousins,Je vais à la montagne avec mes cousins,Je vais au cinéma avec mes cousins",Je vais à la plage avec mes cousins,I am going to the beach with my cousins.,Activities
Easy,Je vais au parc avec mes parents.,I am going to the park with my parents.,"Je vais à la bibliothèque avec mes parents,Je vais au cinéma avec mes parents,Je vais à la plage avec mes parents,Je vais à la montagne avec mes parents",Je vais au parc avec mes parents.,I am going to the park with my parents.,Activities
Easy,Je vais au parc avec mes parents.,I am going to the park with my parents.,"Je vais à la bibliothèque avec mes parents,Je vais au cinéma avec mes parents,Je vais à la plage avec mes parents,Je vais à la montagne avec mes parents",Je vais au parc avec mes parents,I am going to the park with my parents,Activities
Medium,Quel est votre sport préféré?,What is your favorite sport?,"Le football,Le basket-ball,Le tennis,Le cyclisme",Le football,Football,Activities
Hard,Quel est le nom de la fête nationale de la Belgique?,What is the name of the national holiday of Belgium?,"Le 14 Juillet,Le 15 Août,Le 21 Juillet,Le 27 Septembre",Le 21 Juillet,National Day of Belgium,Activities
Easy,"Je m'appelle Marie, j'ai 25 ans.","My name is Marie, I am 25 years old.","Je m'appelle Pierre, j'ai 30 ans.,Je m'appelle Sophie, j'ai 20 ans.,Je m'appelle Charles, j'ai 40 ans.,Je m'appelle Léa, j'ai 28 ans.","Je m'appelle Marie, j'ai 25 ans.","My name is Marie, I am 25 years old.",Introduction
Medium,Je vais au parc avec mes amis pour faire du jogging.,I am going to the park with my friends to go jogging.,"Je vais à la bibliothèque avec mes amis pour faire du travail.,Je vais au cinéma avec mes amis pour regarder un film.,Je vais à la plage avec mes amis pour faire du surf.,Je vais au musée avec mes amis pour apprendre de l'histoire.",Je vais au parc avec mes amis pour faire du jogging.,I am going to the park with my friends to go jogging.,Activities
Hard,La fête nationale de la France est célébrée le 14 juillet.,The national holiday of France is celebrated on July 14th.,"La fête nationale de la France est célébrée le 1er janvier.,La fête nationale de la France est célébrée le 15 août.,La fête nationale de la France est célébrée le 25 décembre.,La fête nationale de la France est célébrée le 1er mai.",La fête nationale de la France est célébrée le 14 juillet.,The national holiday of France is celebrated on July 14th.,History
Easy,Je vais à l'école avec mes parents.,I am going to school with my parents.,"Je vais à la bibliothèque avec mes parents.,Je vais au parc avec mes parents.,Je vais à la plage avec mes parents.,Je vais à la montagne avec mes parents.",Je vais à l'école avec mes parents.,I am going to school with my parents.,Family
Medium,Quel est votre sport préféré?,What is your favorite sport?,"Le football,Le basket-ball,Le tennis,Le volley-ball",Le football,Football,Sports
Hard,Quel est le nom du plus grand fleuve d'Europe?,What is the name of the largest river in Europe?,"La Seine,La Loire,Le Rhin,La Volga",La Volga,Volga,Geography
Easy,"Je m'appelle Antoine, j'ai 32 ans.","My name is Antoine, I am 32 years old.","Je m'appelle Jacques, j'ai 35 ans.,Je m'appelle Pierre, j'ai 38 ans.,Je m'appelle Léon, j'ai 42 ans.,Je m'appelle Louis, j'ai 28 ans.","Je m'appelle Antoine, j'ai 32 ans.","My name is Antoine, I am 32 years old.",Introduction
Medium,Je vais au cinéma avec mes amis pour regarder un film.,I am going to the cinema with my friends to watch a movie.,"Je vais à la bibliothèque avec mes amis pour faire du travail.,Je vais au parc avec mes amis pour faire du jogging.,Je vais à la plage avec mes amis pour faire du surf.,Je vais au musée avec mes amis pour apprendre de l'histoire.",Je vais au cinéma avec mes amis pour regarder un film.,I am going to the cinema with my friends to watch a movie.,Activities
Hard,Quel est le nom du plus grand musée du monde?,What is the name of the largest museum in the world?,"Le Louvre,Le Musée d'Orsay,Le British Museum,Le Metropolitan Museum of Art",Le Louvre,The Louvre,Culture
Easy,Je vais au parc avec mes parents.,I am going to the park with my parents.,"Je vais à la bibliothèque avec mes parents.,Je vais à la plage avec mes parents.,Je vais à la montagne avec mes parents.,Je vais à la piscine avec mes parents.",Je vais au parc avec mes parents.,I am going to the park with my parents.,Activities
Easy,Je m'appelle Marie et j'ai 25 ans.,My name is Marie and I am 25 years old.,"Je m'appelle Pierre et j'ai 30 ans.,Je m'appelle Sophie et j'ai 20 ans.,Je m'appelle Charles et j'ai 40 ans.,Je m'appelle Léa et j'ai 22 ans.",Je m'appelle Marie et j'ai 25 ans.,My name is Marie and I am 25 years old.,Activities
Medium,Quelle est la capitale de la France?,What is the capital of France?,"Paris,Lyon,Marseille,Toulouse",Paris,Paris,Activities
Hard,Comment s'appelle le fleuve qui traverse la ville de Paris?,What is the name of the river that runs through the city of Paris?,"La Seine,La Marne,La Loire,La Dordogne",La Seine,The Seine,Activities
Easy,Je vais à la plage avec mes parents.,I am going to the beach with my parents.,"Je vais à la montagne avec mes parents.,Je vais au parc avec mes parents.,Je vais à la bibliothèque avec mes parents.,Je vais à la ville avec mes parents.",Je vais à la plage avec mes parents.,I am going to the beach with my parents.,Activities
Medium,Quel est votre sport préféré?,What is your favorite sport?,"Le football,Le basket,Le tennis,Le cyclisme",Le football,Football,Activities
Hard,Quel est le nom de la fête qui célèbre la libération de Paris en 1944?,What is the name of the holiday that celebrates the liberation of Paris in 1944?,"La Fête de la Musique,La Fête de la Libération,Le 14 Juillet,La Bastille",Le 14 Juillet,Bastille Day,Activities
Easy,Je vais au parc avec mes parents.,I am going to the park with my parents.,"Je vais à la bibliothèque avec mes parents,Je vais au cinéma avec mes parents,Je vais à la plage avec mes parents,Je vais à la montagne avec mes parents",Je vais au parc avec mes parents,I am going to the park with my parents,Activities
Easy,Je m'appelle Sophie et j'ai 20 ans.,My name is Sophie and I am 20 years old.,"Je m'appelle Marie et j'ai 25 ans.,Je m'appelle Pierre et j'ai 30 ans.,Je m'appelle Léa et j'ai 18 ans.,Je m'appelle Julien et j'ai 22 ans.",Je m'appelle Sophie et j'ai 20 ans.,My name is Sophie and I am 20 years old.,Activities
